Species_W&R05,Species_W&R93,Clade,Order,Family,AdultBodyMass_g,MaxLongevity_m,CitationCountMarch2011,PSR,WBC
Taxidea taxus,Taxidea taxus,C,CARNIVORA,MUSTELIDAE,7842.15,312,389,12,NA
Tayassu pecari,Tayassu pecari,U,CETARTIODACTYLA,TAYASSUIDAE,31798.71,252,288,5,NA
Theropithecus gelada,Theropithecus gelada,P,PRIMATES,CERCOPITHECIDAE,15964.11,336,359,1,9.173
Trachypithecus cristatus,Trachypithecus cristatus,P,PRIMATES,CERCOPITHECIDAE,7176.81,373.2,91,23,8.015
Trachypithecus francoisi,Trachypithecus francoisi,P,PRIMATES,CERCOPITHECIDAE,8139.93,315.6,88,1,7.355
Trachypithecus obscurus,Trachypithecus obscurus,P,PRIMATES,CERCOPITHECIDAE,7247.88,300,45,4,8.406
Trachypithecus phayrei,Trachypithecus phayrei,P,PRIMATES,CERCOPITHECIDAE,7681.72,339.6,92,2,NA
Trachypithecus vetulus,Trachypithecus vetulus,P,PRIMATES,CERCOPITHECIDAE,7205.08,276,26,1,NA
Tragelaphus angasii,Tragelaphus angasii,U,CETARTIODACTYLA,BOVIDAE,87616.76,192,64,41,5.527
Tragelaphus eurycerus,Tragelaphus eurycerus,U,CETARTIODACTYLA,BOVIDAE,270998.37,233,72,5,5.789
Tragelaphus imberbis,Tragelaphus imberbis,U,CETARTIODACTYLA,BOVIDAE,94320.39,227,47,5,4.842
Tragelaphus scriptus,Tragelaphus scriptus,U,CETARTIODACTYLA,BOVIDAE,43250.39,156,402,37,5.937
Tragelaphus spekii,Tragelaphus spekii,U,CETARTIODACTYLA,BOVIDAE,75554.25,258,52,1,7.573
Tragelaphus strepsiceros,Tragelaphus strepsiceros,U,CETARTIODACTYLA,BOVIDAE,206056.41,276,484,65,5.068
Tremarctos ornatus,Tremarctos ornatus,C,CARNIVORA,URSIDAE,123176.97,437,249,1,6.867
Uncia uncia,Uncia uncia,C,CARNIVORA,FELIDAE,32500,216,210,3,11.71
Urocyon cinereoargenteus,Urocyon cinereoargenteus,C,CARNIVORA,CANIDAE,3833.71,180,450,40,8.213
Urocyon littoralis,Urocyon littoralis,C,CARNIVORA,CANIDAE,1923,96,121,13,7.802
Ursus americanus,Ursus americanus,C,CARNIVORA,URSIDAE,110500,384,1899,67,9.061
Ursus arctos,Ursus arctos,C,CARNIVORA,URSIDAE,196287.5,600,3757,59,8.003
Ursus maritimus,Ursus maritimus,C,CARNIVORA,URSIDAE,371703.81,458.4,1376,10,9.515
Ursus thibetanus,Ursus thibetanus,C,CARNIVORA,URSIDAE,99714.19,422,428,6,8.131
Varecia variegata,Varecia variegata,P,PRIMATES,LEMURIDAE,3849.99,384,413,4,8.008
Vulpes cana,Vulpes cana,C,CARNIVORA,CANIDAE,988.5,120,45,1,NA
Vulpes chama,Vulpes chama,C,CARNIVORA,CANIDAE,2919.8,120,45,1,NA
Vulpes corsac,Vulpes corsac,C,CARNIVORA,CANIDAE,2615.33,156,114,9,NA
Vulpes lagopus,Alopex lagopus,C,CARNIVORA,CANIDAE,3584.37,180,86,49,6.425
Vulpes velox,Vulpes velox,C,CARNIVORA,CANIDAE,2088,240,226,25,4.76
Vulpes vulpes,Vulpes vulpes,C,CARNIVORA,CANIDAE,4820.36,180,6908,155,5.782
Vulpes zerda,Vulpes zerda,C,CARNIVORA,CANIDAE,1317.13,195.6,28,2,5.86
